country,ISO_code,region,hf_score,hf_rank,ef_score,ef_rank,pf_score,pf_rank,pf_rol_criminal,missing_women,womens_security,womens_movement,hdi_rank,2015_hdi,2021_pop
Albania,ALB,Eastern Europe,7.568140288,48.0,7.54,34.0,7.596280576,57.0,4.666508223,7.5,7.5,5.0,75,0.267,2811666.0
Australia,AUS,Oceania,8.582219227,4.0,7.98,10.0,9.184438453,11.0,7.364078306,10.0,10.0,10.0,2,0.12,25739256.0
Austria,AUT,Western Europe,8.4134742,16.0,7.58,27.0,9.246948401,8.0,7.673226526,10.0,10.0,10.0,24,0.078,8956279.0
Bangladesh,BGD,South Asia,5.801300179,138.0,6.3,120.0,5.302600358,146.0,3.353369558,7.5,5.833333333,5.0,139,0.52,166303494.0
Belarus,BLR,Eastern Europe,6.144514082,128.0,6.23,123.0,6.059028163,120.0,4.968498773,10.0,10.0,10.0,52,0.144,9340314.0
Belgium,BEL,Western Europe,8.153589293,27.0,7.32,52.0,8.987178587,19.0,7.240364332,10.0,10.0,10.0,22,0.073,11587882.0
Bosnia and Herzegovina,BIH,Eastern Europe,7.230723572,59.0,6.6,98.0,7.861447145,47.0,5.102172745,10.0,8.333333333,10.0,81,0.158,3263459.0
Botswana,BWA,Sub-Saharan Africa,7.153167226,64.0,7.43,44.0,6.876334453,86.0,5.535642631,7.5,7.5,5.0,108,0.435,2397240.0
Brazil,BRA,Latin America & the Caribbean,6.207988703,123.0,5.75,144.0,6.665977406,94.0,3.701203682,10.0,8.333333333,10.0,79,0.414,213993441.0
Bulgaria,BGR,Eastern Europe,7.782769538,41.0,7.41,46.0,8.155539077,41.0,4.058020693,10.0,10.0,10.0,56,0.223,6899125.0
Burkina Faso,BFA,Sub-Saharan Africa,6.752669835,88.0,6.05,129.0,7.45533967,63.0,4.548815495,10.0,5.8,5.0,185,0.615,21497097.0
Cambodia,KHM,South Asia,7.204224143,61.0,7.17,64.0,7.238448286,72.0,2.693784533,10.0,10.0,10.0,143,0.479,16946446.0
Cameroon,CMR,Sub-Saharan Africa,5.575387155,144.0,5.82,141.0,5.330774311,142.0,2.761362319,7.5,7.466666667,5.0,153,0.568,27224262.0
